position,winner
XXXOXOO  ,X
XXXOXO XX,X
XXXOXO XO,X
XXXOXO X ,X
XXXOXO OX,X
XXXOXO OO,X
XXXOXO O ,X
XXXOXO  X,X
XXXOXO  O,X
XXXOXO   ,X
XXXOX XXX,X
XXXOX XXO,X
XXXOX XX ,X
XXXOX XOX,X
XXXOX XOO,X
XXXOX XO ,X
XXXOX X X,X
XXXOX X O,X
XXXOX X  ,X
XXXOX OXX,X
XXXOX OXO,X
XXXOX OX ,X
XXXOX OOX,X
XXXOX OOO,X
XXXOX OO ,X
XXXOX O X,X
XXXOX O O,X
XXXOX O  ,X
XXXOX  XX,X
XXXOX  XO,X
XXXOX  X ,X
XXXOX  OX,X
XXXOX  OO,X
XXXOX  O ,X
XXXOX   X,X
XXXOX   O,X
XXXOX    ,X
XXXOOXXXX,X
XXXOOXXXO,X
XXXOOXXX ,X
XXXOOXXOX,X
XXXOOXXOO,X
XXXOOXXO ,X
XXXOOXX X,X
XXXOOXX O,X
XXXOOXX  ,X
XXXOOXOXX,X
XXXOOXOXO,X
XXXOOXOX ,X
XXXOOXOOX,X
XXXOOXOOO,X
XXXOOXOO ,X
XXXOOXO X,X
XXXOOXO O,X
XXXOOXO  ,X
XXXOOX XX,X
XXXOOX XO,X
XXXOOX X ,X
XXXOOX OX,X
XXXOOX OO,X
XXXOOX O ,X
XXXOOX  X,X
XXXOOX  O,X
XXXOOX   ,X
XXXOOOXXX,X
XXXOOOXXO,X
XXXOOOXX ,X
XXXOOOXOX,X
XXXOOOXOO,X
XXXOOOXO ,X
XXXOOOX X,X
XXXOOOX O,X
XXXOOOX  ,X
XXXOOOOXX,X
XXXOOOOXO,X
XXXOOOOX ,X
XXXOOOOOX,X
XXXOOOOOO,X
XXXOOOOO ,X
XXXOOOO X,X
XXXOOOO O,X
XXXOOOO  ,X
XXXOOO XX,X
XXXOOO XO,X
XXXOOO X ,X
XXXOOO OX,X
XXXOOO OO,X
XXXOOO O ,X
XXXOOO  X,X
XXXOOO  O,X
XXXOOO   ,X
XXXOO XXX,X
XXXOO XXO,X
XXXOO XX ,X
XXXOO XOX,X
XXXOO XOO,X
XXXOO XO ,X
XXXOO X X,X
XXXOO X O,X
XXXOO X  ,X
XXXOO OXX,X
XXXOO OXO,X
XXXOO OX ,X
XXXOO OOX,X
XXXOO OOO,X
XXXOO OO ,X
XXXOO O X,X
XXXOO O O,X
XXXOO O  ,X
XXXOO  XX,X
XXXOO  XO,X
XXXOO  X ,X
XXXOO  OX,X
XXXOO  OO,X
XXXOO  O ,X
XXXOO   X,X
XXXOO   O,X
XXXOO    ,X
XXXO XXXX,X
XXXO XXXO,X
XXXO XXX ,X
XXXO XXOX,X
XXXO XXOO,X
XXXO XXO ,X
XXXO XX X,X
XXXO XX O,X
XXXO XX  ,X
XXXO XOXX,X
XXXO XOXO,X
XXXO XOX ,X
XXXO XOOX,X
XXXO XOOO,X
XXXO XOO ,X
XXXO XO X,X
XXXO XO O,X
XXXO XO  ,X
XXXO X XX,X
XXXO X XO,X
XXXO X X ,X
XXXO X OX,X
XXXO X OO,X
XXXO X O ,X
XXXO X  X,X
XXXO X  O,X
XXXO X   ,X
XXXO OXXX,X
XXXO OXXO,X
XXXO OXX ,X
XXXO OXOX,X
XXXO OXOO,X
XXXO OXO ,X
XXXO OX X,X
XXXO OX O,X
XXXO OX  ,X
XXXO OOXX,X
XXXO OOXO,X
XXXO OOX ,X
XXXO OOOX,X
XXXO OOOO,X
XXXO OOO ,X
XXXO OO X,X
XXXO OO O,X
XXXO OO  ,X
XXXO O XX,X
XXXO O XO,X
XXXO O X ,X
XXXO O OX,X
XXXO O OO,X
XXXO O O ,X
XXXO O  X,X
XXXO O  O,X
XXXO O   ,X
XXXO  XXX,X
XXXO  XXO,X
XXXO  XX ,X
XXXO  XOX,X
XXXO  XOO,X
XXXO  XO ,X
XXXO  X X,X
XXXO  X O,X
XXXO  X  ,X
XXXO  OXX,X
XXXO  OXO,X
XXXO  OX ,X
XXXO  OOX,X
XXXO  OOO,X
XXXO  OO ,X
XXXO  O X,X
XXXO  O O,X
XXXO  O  ,X
XXXO   XX,X
XXXO   XO,X
XXXO   X ,X
XXXO   OX,X
XXXO   OO,X
XXXO   O ,X
XXXO    X,X
XXXO    O,X
XXXO     ,X
XXX XXXXX,X
XXX XXXXO,X
XXX XXXX ,X
XXX XXXOX,X
XXX XXXOO,X
XXX XXXO ,X
XXX XXX X,X
XXX XXX O,X
XXX XXX  ,X
XXX XXOXX,X
XXX XXOXO,X
XXX XXOX ,X
XXX XXOOX,X
XXX XXOOO,X
XXX XXOO ,X
XXX XXO X,X
XXX XXO O,X
XXX XXO  ,X
XXX XX XX,X
XXX XX XO,X
XXX XX X ,X
XXX XX OX,X
XXX XX OO,X
XXX XX O ,X
XXX XX  X,X
XXX XX  O,X
XXX XX   ,X
XXX XOXXX,X
XXX XOXXO,X
XXX XOXX ,X
XXX XOXOX,X
XXX XOXOO,X
XXX XOXO ,X
XXX XOX X,X
XXX XOX O,X
XXX XOX  ,X
XXX XOOXX,X
XXX XOOXO,X
XXX XOOX ,X
XXX XOOOX,X
XXX XOOOO,X
XXX XOOO ,X
XXX XOO X,X
XXX XOO O,X
XXX XOO  ,X
XXX XO XX,X
XXX XO XO,X
XXX XO X ,X
XXX XO OX,X
XXX XO OO,X
XXX XO O ,X
XXX XO  X,X
XXX XO  O,X
XXX XO   ,X
XXX X XXX,X
XXX X XXO,X
XXX X XX ,X
XXX X XOX,X
XXX X XOO,X
XXX X XO ,X
XXX X X X,X
XXX X X O,X
XXX X X  ,X
XXX X OXX,X
XXX X OXO,X
XXX X OX ,X
XXX X OOX,X
XXX X OOO,X
XXX X OO ,X
XXX X O X,X
XXX X O O,X
XXX X O  ,X
XXX X  XX,X
XXX X  XO,X
XXX X  X ,X
XXX X  OX,X
XXX X  OO,X
XXX X  O ,X
XXX X   X,X
XXX X   O,X
XXX X    ,X
XXX OXXXX,X
XXX OXXXO,X
XXX OXXX ,X
XXX OXXOX,X
XXX OXXOO,X
XXX OXXO ,X
XXX OXX X,X
XXX OXX O,X
XXX OXX  ,X
XXX OXOXX,X
XXX OXOXO,X
XXX OXOX ,X
XXX OXOOX,X
XXX OXOOO,X
XXX OXOO ,X
XXX OXO X,X
XXX OXO O,X
XXX OXO  ,X
XXX OX XX,X
XXX OX XO,X
XXX OX X ,X
XXX OX OX,X
XXX OX OO,X
XXX OX O ,X
XXX OX  X,X
XXX OX  O,X
XXX OX   ,X
XXX OOXXX,X
XXX OOXXO,X
XXX OOXX ,X
XXX OOXOX,X
XXX OOXOO,X
XXX OOXO ,X
XXX OOX X,X
XXX OOX O,X
XXX OOX  ,X
XXX OOOXX,X
XXX OOOXO,X
XXX OOOX ,X
XXX OOOOX,X
XXX OOOOO,X
XXX OOOO ,X
XXX OOO X,X
XXX OOO O,X
XXX OOO  ,X
XXX OO XX,X
XXX OO XO,X
XXX OO X ,X
XXX OO OX,X
XXX OO OO,X
XXX OO O ,X
XXX OO  X,X
XXX OO  O,X
XXX OO   ,X
XXX O XXX,X
XXX O XXO,X
XXX O XX ,X
XXX O XOX,X
XXX O XOO,X
XXX O XO ,X
XXX O X X,X
XXX O X O,X
XXX O X  ,X
XXX O OXX,X
XXX O OXO,X
XXX O OX ,X
XXX O OOX,X
XXX O OOO,X
XXX O OO ,X
XXX O O X,X
XXX O O O,X
XXX O O  ,X
XXX O  XX,X
XXX O  XO,X
XXX O  X ,X
XXX O  OX,X
XXX O  OO,X
XXX O  O ,X
XXX O   X,X
XXX O   O,X
XXX O    ,X
XXX  XXXX,X
XXX  XXXO,X
XXX  XXX ,X
XXX  XXOX,X
XXX  XXOO,X
XXX  XXO ,X
XXX  XX X,X
XXX  XX O,X
XXX  XX  ,X
XXX  XOXX,X
XXX  XOXO,X
XXX  XOX ,X
XXX  XOOX,X
XXX  XOOO,X
XXX  XOO ,X
XXX  XO X,X
XXX  XO O,X
XXX  XO  ,X
XXX  X XX,X
XXX  X XO,X
XXX  X X ,X
XXX  X OX,X
XXX  X OO,X
XXX  X O ,X
XXX  X  X,X
XXX  X  O,X
XXX  X   ,X
XXX  OXXX,X
XXX  OXXO,X
XXX  OXX ,X
XXX  OXOX,X
XXX  OXOO,X
XXX  OXO ,X
XXX  OX X,X
XXX  OX O,X
XXX  OX  ,X
XXX  OOXX,X
XXX  OOXO,X
XXX  OOX ,X
XXX  OOOX,X
XXX  OOOO,X
XXX  OOO ,X
XXX  OO X,X
XXX  OO O,X
XXX  OO  ,X
XXX  O XX,X
XXX  O XO,X
XXX  O X ,X
XXX  O OX,X
XXX  O OO,X
XXX  O O ,X
XXX  O  X,X
XXX  O  O,X
XXX  O   ,X
XXX   XXX,X
XXX   XXO,X
XXX   XX ,X
XXX   XOX,X
XXX   XOO,X
XXX   XO ,X
XXX   X X,X
XXX   X O,X
XXX   X  ,X
XXX   OXX,X
XXX   OXO,X
XXX   OX ,X
XXX   OOX,X
XXX   OOO,X
XXX   OO ,X
XXX   O X,X
XXX   O O,X
XXX   O  ,X
XXX    XX,X
XXX    XO,X
XXX    X ,X
XXX    OX,X
XXX    OO,X
XXX    O ,X
XXX     X,X
XXX     O,X
XXX      ,X
XXOXXXXXX,X
XXOXXXXXO,X
XXOXXXXX ,X
XXOXXXXOX,X
XXOXXXXOO,X
XXOXXXXO ,X
XXOXXXX X,X
XXOXXXX O,X
XXOXXXX  ,X
XXOXXXOXX,X
XXOXXXOXO,X
XXOXXXOX ,X
XXOXXXOOX,X
XXOXXXOOO,X
XXOXXXOO ,X
XXOXXXO X,X
XXOXXXO O,X
XXOXXXO  ,X
XXOXXX XX,X
XXOXXX XO,X
XXOXXX X ,X
XXOXXX OX,X
XXOXXX OO,X
XXOXXX O ,X
XXOXXX  X,X
XXOXXX  O,X
XXOXXX   ,X
XXOXXOXXX,X
XXOXXOXXO,X
XXOXXOXX ,X
XXOXXOXOX,X
XXOXXOXOO,X
XXOXXOXO ,X
XXOXXOX X,X
XXOXXOX O,X
XXOXXOX  ,X
XXOXXOOXX,X
XXOXXOOXO,X
XXOXXOOX ,X
XXOXXOOOX,X
XXOXXOOOO,O
XXOXXOOO ,U
XXOXXOO X,X
XXOXXOO O,O
XXOXXOO  ,U
XXOXXO XX,X
XXOXXO XO,X
XXOXXO X ,X
XXOXXO OX,X
XXOXXO OO,O
XXOXXO O ,U
XXOXXO  X,X
XXOXXO  O,O
XXOXXO   ,U
XXOXX XXX,X
XXOXX XXO,X
XXOXX XX ,X
XXOXX XOX,X
XXOXX XOO,X
XXOXX XO ,X
XXOXX X X,X
XXOXX X O,X
XXOXX X  ,X
XXOXX OXX,X
XXOXX OXO,X
XXOXX OX ,X
XXOXX OOX,X
XXOXX OOO,O
XXOXX OO ,U
XXOXX O X,X
XXOXX O O,U
XXOXX O  ,U
XXOXX  XX,X
XXOXX  XO,X
XXOXX  X ,X
XXOXX  OX,X
XXOXX  OO,U
XXOXX  O ,U
XXOXX   X,X
XXOXX   O,U
XXOXX    ,U
XXOXOXXXX,X
XXOXOXXXO,X
XXOXOXXX ,X
XXOXOXXOX,X
XXOXOXXOO,X
XXOXOXXO ,X
XXOXOXX X,X
XXOXOXX O,X
XXOXOXX  ,X
XXOXOXOXX,O
XXOXOXOXO,O
XXOXOXOX ,O
XXOXOXOOX,O
XXOXOXOOO,O
XXOXOXOO ,O
XXOXOXO X,O
XXOXOXO O,O
XXOXOXO  ,O
XXOXOX XX,U
XXOXOX XO,U
XXOXOX X ,U
XXOXOX OX,U
XXOXOX OO,U
XXOXOX O ,U
XXOXOX  X,U
XXOXOX  O,U
XXOXOX   ,U
XXOXOOXXX,X
XXOXOOXXO,X
XXOXOOXX ,X
XXOXOOXOX,X
XXOXOOXOO,X
XXOXOOXO ,X
XXOXOOX X,X
XXOXOOX O,X
XXOXOOX  ,X
XXOXOOOXX,O
XXOXOOOXO,O
XXOXOOOX ,O
XXOXOOOOX,O
XXOXOOOOO,O
XXOXOOOO ,O
XXOXOOO X,O
XXOXOOO O,O
XXOXOOO  ,O
XXOXOO XX,U
XXOXOO XO,O
XXOXOO X ,U
XXOXOO OX,U
XXOXOO OO,O
XXOXOO O ,U
XXOXOO  X,U
XXOXOO  O,O
XXOXOO   ,U
XXOXO XXX,X
XXOXO XXO,X
XXOXO XX ,X
XXOXO XOX,X
XXOXO XOO,X
XXOXO XO ,X
XXOXO X X,X
XXOXO X O,X
XXOXO X  ,X
XXOXO OXX,O
XXOXO OXO,O
XXOXO OX ,O
XXOXO OOX,O
XXOXO OOO,O
XXOXO OO ,O
XXOXO O X,O
XXOXO O O,O
XXOXO O  ,O
XXOXO  XX,U
XXOXO  XO,U
XXOXO  X ,U
XXOXO  OX,U
XXOXO  OO,U
XXOXO  O ,U
XXOXO   X,U
XXOXO   O,U
XXOXO    ,U
XXOX XXXX,X
XXOX XXXO,X
XXOX XXX ,X
XXOX XXOX,X
