position,winner
X OXXOX X,X
X OXXOX O,X
X OXXOX  ,X
X OXXOOXX,X
X OXXOOXO,O
X OXXOOX ,U
X OXXOOOX,X
X OXXOOOO,O
X OXXOOO ,U
X OXXOO X,X
X OXXOO O,O
X OXXOO  ,U
X OXXO XX,X
X OXXO XO,O
X OXXO X ,U
X OXXO OX,X
X OXXO OO,O
X OXXO O ,U
X OXXO  X,X
X OXXO  O,O
X OXXO   ,U
X OXX XXX,X
X OXX XXO,X
X OXX XX ,X
X OXX XOX,X
X OXX XOO,X
X OXX XO ,X
X OXX X X,X
X OXX X O,X
X OXX X  ,X
X OXX OXX,X
X OXX OXO,U
X OXX OX ,U
X OXX OOX,X
X OXX OOO,O
X OXX OO ,U
X OXX O X,X
X OXX O O,U
X OXX O  ,U
X OXX  XX,X
X OXX  XO,U
X OXX  X ,U
X OXX  OX,X
X OXX  OO,U
X OXX  O ,U
X OXX   X,X
X OXX   O,U
X OXX    ,U
X OXOXXXX,X
X OXOXXXO,X
X OXOXXX ,X
X OXOXXOX,X
X OXOXXOO,X
X OXOXXO ,X
X OXOXX X,X
X OXOXX O,X
X OXOXX  ,X
X OXOXOXX,O
X OXOXOXO,O
X OXOXOX ,O
X OXOXOOX,O
X OXOXOOO,O
X OXOXOO ,O
X OXOXO X,O
X OXOXO O,O
X OXOXO  ,O
X OXOX XX,U
X OXOX XO,U
X OXOX X ,U
X OXOX OX,U
X OXOX OO,U
X OXOX O ,U
X OXOX  X,U
X OXOX  O,U
X OXOX   ,U
X OXOOXXX,X
X OXOOXXO,X
X OXOOXX ,X
X OXOOXOX,X
X OXOOXOO,X
X OXOOXO ,X
X OXOOX X,X
X OXOOX O,X
X OXOOX  ,X
X OXOOOXX,O
X OXOOOXO,O
X OXOOOX ,O
X OXOOOOX,O
X OXOOOOO,O
X OXOOOO ,O
X OXOOO X,O
X OXOOO O,O
X OXOOO  ,O
X OXOO XX,U
X OXOO XO,O
X OXOO X ,U
X OXOO OX,U
X OXOO OO,O
X OXOO O ,U
X OXOO  X,U
X OXOO  O,O
X OXOO   ,U
X OXO XXX,X
X OXO XXO,X
X OXO XX ,X
X OXO XOX,X
X OXO XOO,X
X OXO XO ,X
X OXO X X,X
X OXO X O,X
X OXO X  ,X
X OXO OXX,O
X OXO OXO,O
X OXO OX ,O
X OXO OOX,O
X OXO OOO,O
X OXO OO ,O
X OXO O X,O
X OXO O O,O
X OXO O  ,O
X OXO  XX,U
X OXO  XO,U
X OXO  X ,U
X OXO  OX,U
X OXO  OO,U
X OXO  O ,U
X OXO   X,U
X OXO   O,U
X OXO    ,U
X OX XXXX,X
X OX XXXO,X
X OX XXX ,X
X OX XXOX,X
X OX XXOO,X
X OX XXO ,X
X OX XX X,X
X OX XX O,X
X OX XX  ,X
X OX XOXX,U
X OX XOXO,U
X OX XOX ,U
X OX XOOX,U
X OX XOOO,O
X OX XOO ,U
X OX XO X,U
X OX XO O,U
X OX XO  ,U
X OX X XX,U
X OX X XO,U
X OX X X ,U
X OX X OX,U
X OX X OO,U
X OX X O ,U
X OX X  X,U
X OX X  O,U
X OX X   ,U
X OX OXXX,X
X OX OXXO,X
X OX OXX ,X
X OX OXOX,X
X OX OXOO,X
X OX OXO ,X
X OX OX X,X
X OX OX O,X
X OX OX  ,X
X OX OOXX,U
X OX OOXO,O
X OX OOX ,U
X OX OOOX,U
X OX OOOO,O
X OX OOO ,U
X OX OO X,U
X OX OO O,O
X OX OO  ,U
X OX O XX,U
X OX O XO,O
X OX O X ,U
X OX O OX,U
X OX O OO,O
X OX O O ,U
X OX O  X,U
X OX O  O,O
X OX O   ,U
X OX  XXX,X
X OX  XXO,X
X OX  XX ,X
X OX  XOX,X
X OX  XOO,X
X OX  XO ,X
X OX  X X,X
X OX  X O,X
X OX  X  ,X
X OX  OXX,U
X OX  OXO,U
X OX  OX ,U
X OX  OOX,U
X OX  OOO,O
X OX  OO ,U
X OX  O X,U
X OX  O O,U
X OX  O  ,U
X OX   XX,U
X OX   XO,U
X OX   X ,U
X OX   OX,U
X OX   OO,U
X OX   O ,U
X OX    X,U
X OX    O,U
X OX     ,U
X OOXXXXX,X
X OOXXXXO,U
X OOXXXX ,U
X OOXXXOX,X
X OOXXXOO,U
X OOXXXO ,U
X OOXXX X,X
X OOXXX O,U
X OOXXX  ,U
X OOXXOXX,X
X OOXXOXO,U
X OOXXOX ,U
X OOXXOOX,X
X OOXXOOO,O
X OOXXOO ,U
X OOXXO X,X
X OOXXO O,U
X OOXXO  ,U
X OOXX XX,X
X OOXX XO,U
X OOXX X ,U
X OOXX OX,X
X OOXX OO,U
X OOXX O ,U
X OOXX  X,X
X OOXX  O,U
X OOXX   ,U
X OOXOXXX,X
X OOXOXXO,O
X OOXOXX ,U
X OOXOXOX,X
X OOXOXOO,O
X OOXOXO ,U
X OOXOX X,X
X OOXOX O,O
X OOXOX  ,U
X OOXOOXX,X
X OOXOOXO,O
X OOXOOX ,U
X OOXOOOX,X
X OOXOOOO,O
X OOXOOO ,U
X OOXOO X,X
X OOXOO O,O
X OOXOO  ,U
X OOXO XX,X
X OOXO XO,O
X OOXO X ,U
X OOXO OX,X
X OOXO OO,O
X OOXO O ,U
X OOXO  X,X
X OOXO  O,O
X OOXO   ,U
X OOX XXX,X
X OOX XXO,U
X OOX XX ,U
X OOX XOX,X
X OOX XOO,U
X OOX XO ,U
X OOX X X,X
X OOX X O,U
X OOX X  ,U
X OOX OXX,X
X OOX OXO,U
X OOX OX ,U
X OOX OOX,X
X OOX OOO,O
X OOX OO ,U
X OOX O X,X
X OOX O O,U
X OOX O  ,U
X OOX  XX,X
X OOX  XO,U
X OOX  X ,U
X OOX  OX,X
X OOX  OO,U
X OOX  O ,U
X OOX   X,X
X OOX   O,U
X OOX    ,U
X OOOXXXX,X
X OOOXXXO,U
X OOOXXX ,U
X OOOXXOX,U
X OOOXXOO,U
X OOOXXO ,U
X OOOXX X,U
X OOOXX O,U
X OOOXX  ,U
X OOOXOXX,O
X OOOXOXO,O
X OOOXOX ,O
X OOOXOOX,O
X OOOXOOO,O
X OOOXOO ,O
X OOOXO X,O
X OOOXO O,O
X OOOXO  ,O
X OOOX XX,U
X OOOX XO,U
X OOOX X ,U
X OOOX OX,U
X OOOX OO,U
X OOOX O ,U
X OOOX  X,U
X OOOX  O,U
X OOOX   ,U
X OOOOXXX,O
X OOOOXXO,O
X OOOOXX ,O
X OOOOXOX,O
X OOOOXOO,O
X OOOOXO ,O
X OOOOX X,O
X OOOOX O,O
X OOOOX  ,O
X OOOOOXX,O
X OOOOOXO,O
X OOOOOX ,O
X OOOOOOX,O
X OOOOOOO,O
X OOOOOO ,O
X OOOOO X,O
X OOOOO O,O
X OOOOO  ,O
X OOOO XX,O
X OOOO XO,O
X OOOO X ,O
X OOOO OX,O
X OOOO OO,O
X OOOO O ,O
X OOOO  X,O
X OOOO  O,O
X OOOO   ,O
X OOO XXX,X
X OOO XXO,U
X OOO XX ,U
X OOO XOX,U
X OOO XOO,U
X OOO XO ,U
X OOO X X,U
X OOO X O,U
X OOO X  ,U
X OOO OXX,O
X OOO OXO,O
X OOO OX ,O
X OOO OOX,O
X OOO OOO,O
X OOO OO ,O
X OOO O X,O
X OOO O O,O
X OOO O  ,O
X OOO  XX,U
X OOO  XO,U
X OOO  X ,U
X OOO  OX,U
X OOO  OO,U
X OOO  O ,U
X OOO   X,U
X OOO   O,U
X OOO    ,U
X OO XXXX,X
X OO XXXO,U
X OO XXX ,U
X OO XXOX,U
X OO XXOO,U
X OO XXO ,U
X OO XX X,U
X OO XX O,U
X OO XX  ,U
X OO XOXX,U
X OO XOXO,U
X OO XOX ,U
X OO XOOX,U
X OO XOOO,O
X OO XOO ,U
X OO XO X,U
X OO XO O,U
X OO XO  ,U
X OO X XX,U
X OO X XO,U
X OO X X ,U
X OO X OX,U
X OO X OO,U
X OO X O ,U
X OO X  X,U
X OO X  O,U
X OO X   ,U
X OO OXXX,X
X OO OXXO,O
X OO OXX ,U
X OO OXOX,U
X OO OXOO,O
X OO OXO ,U
X OO OX X,U
X OO OX O,O
X OO OX  ,U
X OO OOXX,U
X OO OOXO,O
X OO OOX ,U
X OO OOOX,U
X OO OOOO,O
X OO OOO ,U
X OO OO X,U
X OO OO O,O
X OO OO  ,U
X OO O XX,U
X OO O XO,O
X OO O X ,U
X OO O OX,U
X OO O OO,O
X OO O O ,U
X OO O  X,U
X OO O  O,O
X OO O   ,U
X OO  XXX,X
X OO  XXO,U
X OO  XX ,U
X OO  XOX,U
X OO  XOO,U
X OO  XO ,U
X OO  X X,U
X OO  X O,U
X OO  X  ,U
X OO  OXX,U
X OO  OXO,U
X OO  OX ,U
X OO  OOX,U
X OO  OOO,O
X OO  OO ,U
X OO  O X,U
X OO  O O,U
X OO  O  ,U
X OO   XX,U
X OO   XO,U
X OO   X ,U
X OO   OX,U
X OO   OO,U
X OO   O ,U
X OO    X,U
X OO    O,U
X OO     ,U
X O XXXXX,X
X O XXXXO,U
X O XXXX ,U
X O XXXOX,X
X O XXXOO,U
X O XXXO ,U
X O XXX X,X
X O XXX O,U
X O XXX  ,U
X O XXOXX,X
X O XXOXO,U
X O XXOX ,U
X O XXOOX,X
X O XXOOO,O
X O XXOO ,U
X O XXO X,X
X O XXO O,U
X O XXO  ,U
X O XX XX,X
X O XX XO,U
X O XX X ,U
X O XX OX,X
X O XX OO,U
X O XX O ,U
X O XX  X,X
X O XX  O,U
X O XX   ,U
X O XOXXX,X
X O XOXXO,O
X O XOXX ,U
X O XOXOX,X
X O XOXOO,O
X O XOXO ,U
X O XOX X,X
X O XOX O,O
X O XOX  ,U
X O XOOXX,X
X O XOOXO,O
X O XOOX ,U
X O XOOOX,X
X O XOOOO,O
X O XOOO ,U
X O XOO X,X
X O XOO O,O
X O XOO  ,U
X O XO XX,X
X O XO XO,O
X O XO X ,U
X O XO OX,X
X O XO OO,O
X O XO O ,U
X O XO  X,X
X O XO  O,O
X O XO   ,U
X O X XXX,X
X O X XXO,U
X O X XX ,U
X O X XOX,X
X O X XOO,U
X O X XO ,U
X O X X X,X
X O X X O,U
X O X X  ,U
X O X OXX,X
X O X OXO,U
X O X OX ,U
X O X OOX,X
X O X OOO,O
X O X OO ,U
X O X O X,X
X O X O O,U
X O X O  ,U
X O X  XX,X
X O X  XO,U
X O X  X ,U
X O X  OX,X
X O X  OO,U
X O X  O ,U
X O X   X,X
X O X   O,U
X O X    ,U
X O OXXXX,X
X O OXXXO,U
X O OXXX ,U
X O OXXOX,U
X O OXXOO,U
X O OXXO ,U
X O OXX X,U
X O OXX O,U
X O OXX  ,U
X O OXOXX,O
X O OXOXO,O
X O OXOX ,O
X O OXOOX,O
X O OXOOO,O
X O OXOO ,O
X O OXO X,O
X O OXO O,O
X O OXO  ,O
X O OX XX,U
X O OX XO,U
X O OX X ,U
X O OX OX,U
X O OX OO,U
X O OX O ,U
X O OX  X,U
X O OX  O,U
X O OX   ,U
X O OOXXX,X
X O OOXXO,O
X O OOXX ,U
X O OOXOX,U
X O OOXOO,O
X O OOXO ,U
X O OOX X,U
X O OOX O,O
X O OOX  ,U
X O OOOXX,O
X O OOOXO,O
X O OOOX ,O
X O OOOOX,O
X O OOOOO,O
X O OOOO ,O
X O OOO X,O
X O OOO O,O
X O OOO  ,O
X O OO XX,U
X O OO XO,O
X O OO X ,U
X O OO OX,U
X O OO OO,O
X O OO O ,U
X O OO  X,U
X O OO  O,O
X O OO   ,U
X O O XXX,X
X O O XXO,U
X O O XX ,U
X O O XOX,U
X O O XOO,U
X O O XO ,U
X O O X X,U
X O O X O,U
X O O X  ,U
X O O OXX,O
X O O OXO,O
X O O OX ,O
X O O OOX,O
X O O OOO,O
X O O OO ,O
X O O O X,O
X O O O O,O
X O O O  ,O
X O O  XX,U
X O O  XO,U
X O O  X ,U
X O O  OX,U
X O O  OO,U
X O O  O ,U
X O O   X,U
X O O   O,U
X O O    ,U
X O  XXXX,X
X O  XXXO,U
X O  XXX ,U
X O  XXOX,U
X O  XXOO,U
X O  XXO ,U
X O  XX X,U
X O  XX O,U
X O  XX  ,U
X O  XOXX,U
X O  XOXO,U
X O  XOX ,U
X O  XOOX,U
X O  XOOO,O
X O  XOO ,U
X O  XO X,U
X O  XO O,U
X O  XO  ,U
X O  X XX,U
X O  X XO,U
X O  X X ,U
X O  X OX,U
X O  X OO,U
X O  X O ,U
X O  X  X,U
X O  X  O,U
X O  X   ,U
X O  OXXX,X
X O  OXXO,O
X O  OXX ,U
X O  OXOX,U
X O  OXOO,O
X O  OXO ,U
X O  OX X,U
X O  OX O,O
X O  OX  ,U
X O  OOXX,U
X O  OOXO,O
X O  OOX ,U
X O  OOOX,U
X O  OOOO,O
X O  OOO ,U
X O  OO X,U
X O  OO O,O
X O  OO  ,U
X O  O XX,U
X O  O XO,O
X O  O X ,U
X O  O OX,U
X O  O OO,O
X O  O O ,U
X O  O  X,U
X O  O  O,O
X O  O   ,U
X O   XXX,X
X O   XXO,U
X O   XX ,U
X O   XOX,U
X O   XOO,U
X O   XO ,U
X O   X X,U
X O   X O,U
X O   X  ,U
X O   OXX,U
X O   OXO,U
X O   OX ,U
X O   OOX,U
X O   OOO,O
X O   OO ,U
X O   O X,U
X O   O O,U
X O   O  ,U
X O    XX,U
X O    XO,U
X O    X ,U
X O    OX,U
X O    OO,U
X O    O ,U
X O     X,U
X O     O,U
X O      ,U
X  XXXXXX,X
X  XXXXXO,X
X  XXXXX ,X
X  XXXXOX,X
X  XXXXOO,X
X  XXXXO ,X
X  XXXX X,X
X  XXXX O,X
X  XXXX  ,X
X  XXXOXX,X
X  XXXOXO,X
X  XXXOX ,X
X  XXXOOX,X
X  XXXOOO,X
X  XXXOO ,X
X  XXXO X,X
X  XXXO O,X
X  XXXO  ,X
X  XXX XX,X
X  XXX XO,X
X  XXX X ,X
X  XXX OX,X
X  XXX OO,X
X  XXX O ,X
X  XXX  X,X
X  XXX  O,X
X  XXX   ,X
X  XXOXXX,X
X  XXOXXO,X
X  XXOXX ,X
X  XXOXOX,X
X  XXOXOO,X
X  XXOXO ,X
X  XXOX X,X
X  XXOX O,X
X  XXOX  ,X
X  XXOOXX,X
X  XXOOXO,U
X  XXOOX ,U
X  XXOOOX,X
X  XXOOOO,O
X  XXOOO ,U
X  XXOO X,X
X  XXOO O,U
X  XXOO  ,U
X  XXO XX,X
X  XXO XO,U
X  XXO X ,U
X  XXO OX,X
X  XXO OO,U
X  XXO O ,U
X  XXO  X,X
X  XXO  O,U
X  XXO   ,U
X  XX XXX,X
X  XX XXO,X
X  XX XX ,X
X  XX XOX,X
X  XX XOO,X
X  XX XO ,X
X  XX X X,X
X  XX X O,X
X  XX X  ,X
X  XX OXX,X
X  XX OXO,U
X  XX OX ,U
X  XX OOX,X
X  XX OOO,O
X  XX OO ,U
X  XX O X,X
X  XX O O,U
X  XX O  ,U
X  XX  XX,X
X  XX  XO,U
X  XX  X ,U
X  XX  OX,X
X  XX  OO,U
X  XX  O ,U
X  XX   X,X
X  XX   O,U
X  XX    ,U
X  XOXXXX,X
X  XOXXXO,X
X  XOXXX ,X
X  XOXXOX,X
X  XOXXOO,X
X  XOXXO ,X
X  XOXX X,X
X  XOXX O,X
X  XOXX  ,X
X  XOXOXX,U
X  XOXOXO,U
X  XOXOX ,U
X  XOXOOX,U
X  XOXOOO,O
X  XOXOO ,U
X  XOXO X,U
X  XOXO O,U
X  XOXO  ,U
X  XOX XX,U
X  XOX XO,U
X  XOX X ,U
X  XOX OX,U
X  XOX OO,U
X  XOX O ,U
X  XOX  X,U
X  XOX  O,U
X  XOX   ,U
X  XOOXXX,X
X  XOOXXO,X
X  XOOXX ,X
X  XOOXOX,X
X  XOOXOO,X
X  XOOXO ,X
X  XOOX X,X
X  XOOX O,X
X  XOOX  ,X
X  XOOOXX,U
X  XOOOXO,U
X  XOOOX ,U
X  XOOOOX,U
X  XOOOOO,O
X  XOOOO ,U
X  XOOO X,U
X  XOOO O,U
X  XOOO  ,U
X  XOO XX,U
X  XOO XO,U
X  XOO X ,U
X  XOO OX,U
X  XOO OO,U
X  XOO O ,U
X  XOO  X,U
X  XOO  O,U
X  XOO   ,U
X  XO XXX,X
X  XO XXO,X
X  XO XX ,X
X  XO XOX,X
X  XO XOO,X
X  XO XO ,X
X  XO X X,X
X  XO X O,X
X  XO X  ,X
X  XO OXX,U
X  XO OXO,U
X  XO OX ,U
X  XO OOX,U
X  XO OOO,O
X  XO OO ,U
X  XO O X,U
X  XO O O,U
X  XO O  ,U
X  XO  XX,U
X  XO  XO,U
X  XO  X ,U
X  XO  OX,U
X  XO  OO,U
X  XO  O ,U
X  XO   X,U
X  XO   O,U
X  XO    ,U
X  X XXXX,X
X  X XXXO,X
X  X XXX ,X
X  X XXOX,X
X  X XXOO,X
X  X XXO ,X
X  X XX X,X
X  X XX O,X
X  X XX  ,X
X  X XOXX,U
X  X XOXO,U
X  X XOX ,U
X  X XOOX,U
X  X XOOO,O
X  X XOO ,U
X  X XO X,U
X  X XO O,U
X  X XO  ,U
X  X X XX,U
X  X X XO,U
X  X X X ,U
X  X X OX,U
X  X X OO,U
X  X X O ,U
X  X X  X,U
X  X X  O,U
X  X X   ,U
X  X OXXX,X
X  X OXXO,X
X  X OXX ,X
X  X OXOX,X
X  X OXOO,X
X  X OXO ,X
X  X OX X,X
X  X OX O,X
X  X OX  ,X
X  X OOXX,U
X  X OOXO,U
X  X OOX ,U
X  X OOOX,U
X  X OOOO,O
X  X OOO ,U
X  X OO X,U
X  X OO O,U
X  X OO  ,U
X  X O XX,U
X  X O XO,U
X  X O X ,U
X  X O OX,U
X  X O OO,U
X  X O O ,U
X  X O  X,U
X  X O  O,U
X  X O   ,U
X  X  XXX,X
X  X  XXO,X
X  X  XX ,X
X  X  XOX,X
X  X  XOO,X
X  X  XO ,X
X  X  X X,X
X  X  X O,X
X  X  X  ,X
X  X  OXX,U
X  X  OXO,U
X  X  OX ,U
X  X  OOX,U
X  X  OOO,O
X  X  OO ,U
X  X  O X,U
X  X  O O,U
X  X  O  ,U
X  X   XX,U
X  X   XO,U
X  X   X ,U
X  X   OX,U
X  X   OO,U
X  X   O ,U
X  X    X,U
X  X    O,U
X  X     ,U
X  OXXXXX,X
X  OXXXXO,U
X  OXXXX ,U
X  OXXXOX,X
X  OXXXOO,U
X  OXXXO ,U
X  OXXX X,X
X  OXXX O,U
X  OXXX  ,U
X  OXXOXX,X
X  OXXOXO,U
X  OXXOX ,U
X  OXXOOX,X
X  OXXOOO,O
X  OXXOO ,U
X  OXXO X,X
X  OXXO O,U
X  OXXO  ,U
X  OXX XX,X
X  OXX XO,U
X  OXX X ,U
X  OXX OX,X
X  OXX OO,U
X  OXX O ,U
X  OXX  X,X
X  OXX  O,U
X  OXX   ,U
X  OXOXXX,X
X  OXOXXO,U
X  OXOXX ,U
X  OXOXOX,X
X  OXOXOO,U
X  OXOXO ,U
X  OXOX X,X
X  OXOX O,U
X  OXOX  ,U
X  OXOOXX,X
X  OXOOXO,U
X  OXOOX ,U
X  OXOOOX,X
X  OXOOOO,O
X  OXOOO ,U
X  OXOO X,X
X  OXOO O,U
X  OXOO  ,U
X  OXO XX,X
X  OXO XO,U
X  OXO X ,U
X  OXO OX,X
X  OXO OO,U
X  OXO O ,U
X  OXO  X,X
X  OXO  O,U
X  OXO   ,U
X  OX XXX,X
X  OX XXO,U
X  OX XX ,U
X  OX XOX,X
X  OX XOO,U
X  OX XO ,U
X  OX X X,X
X  OX X O,U
X  OX X  ,U
X  OX OXX,X
X  OX OXO,U
X  OX OX ,U
X  OX OOX,X
X  OX OOO,O
X  OX OO ,U
X  OX O X,X
X  OX O O,U
X  OX O  ,U
X  OX  XX,X
X  OX  XO,U
X  OX  X ,U
X  OX  OX,X
X  OX  OO,U
X  OX  O ,U
X  OX   X,X
X  OX   O,U
X  OX    ,U
X  OOXXXX,X
X  OOXXXO,U
X  OOXXX ,U
X  OOXXOX,U
X  OOXXOO,U
X  OOXXO ,U
X  OOXX X,U
X  OOXX O,U
X  OOXX  ,U
X  OOXOXX,U
X  OOXOXO,U
X  OOXOX ,U
X  OOXOOX,U
X  OOXOOO,O
X  OOXOO ,U
X  OOXO X,U
X  OOXO O,U
X  OOXO  ,U
X  OOX XX,U
X  OOX XO,U
X  OOX X ,U
X  OOX OX,U
X  OOX OO,U
X  OOX O ,U
X  OOX  X,U
X  OOX  O,U
X  OOX   ,U
X  OOOXXX,O
X  OOOXXO,O
X  OOOXX ,O
X  OOOXOX,O
X  OOOXOO,O
X  OOOXO ,O
X  OOOX X,O
X  OOOX O,O
X  OOOX  ,O
X  OOOOXX,O
X  OOOOXO,O
X  OOOOX ,O
X  OOOOOX,O
X  OOOOOO,O
X  OOOOO ,O
X  OOOO X,O
X  OOOO O,O
X  OOOO  ,O
X  OOO XX,O
X  OOO XO,O
X  OOO X ,O
X  OOO OX,O
X  OOO OO,O
X  OOO O ,O
X  OOO  X,O
X  OOO  O,O
X  OOO   ,O
X  OO XXX,X
X  OO XXO,U
X  OO XX ,U
X  OO XOX,U
X  OO XOO,U
X  OO XO ,U
X  OO X X,U
X  OO X O,U
X  OO X  ,U
X  OO OXX,U
X  OO OXO,U
X  OO OX ,U
X  OO OOX,U
X  OO OOO,O
X  OO OO ,U
X  OO O X,U
X  OO O O,U
X  OO O  ,U
X  OO  XX,U
X  OO  XO,U
X  OO  X ,U
X  OO  OX,U
X  OO  OO,U
X  OO  O ,U
X  OO   X,U
X  OO   O,U
X  OO    ,U
X  O XXXX,X
X  O XXXO,U
X  O XXX ,U
X  O XXOX,U
X  O XXOO,U
X  O XXO ,U
X  O XX X,U
X  O XX O,U
X  O XX  ,U
X  O XOXX,U
X  O XOXO,U
X  O XOX ,U
X  O XOOX,U
X  O XOOO,O
X  O XOO ,U
X  O XO X,U
X  O XO O,U
X  O XO  ,U
X  O X XX,U
X  O X XO,U
X  O X X ,U
X  O X OX,U
X  O X OO,U
X  O X O ,U
X  O X  X,U
X  O X  O,U
X  O X   ,U
X  O OXXX,X
X  O OXXO,U
X  O OXX ,U
X  O OXOX,U
X  O OXOO,U
X  O OXO ,U
X  O OX X,U
X  O OX O,U
X  O OX  ,U
X  O OOXX,U
X  O OOXO,U
X  O OOX ,U
X  O OOOX,U
X  O OOOO,O
X  O OOO ,U
X  O OO X,U
X  O OO O,U
X  O OO  ,U
X  O O XX,U
X  O O XO,U
X  O O X ,U
X  O O OX,U
X  O O OO,U
X  O O O ,U
X  O O  X,U
X  O O  O,U
X  O O   ,U
X  O  XXX,X
X  O  XXO,U
X  O  XX ,U
X  O  XOX,U
X  O  XOO,U
X  O  XO ,U
X  O  X X,U
X  O  X O,U
X  O  X  ,U
X  O  OXX,U
X  O  OXO,U
X  O  OX ,U
X  O  OOX,U
X  O  OOO,O
X  O  OO ,U
X  O  O X,U
X  O  O O,U
X  O  O  ,U
X  O   XX,U
X  O   XO,U
X  O   X ,U
X  O   OX,U
X  O   OO,U
X  O   O ,U
X  O    X,U
X  O    O,U
X  O     ,U
X   XXXXX,X
X   XXXXO,U
X   XXXX ,U
X   XXXOX,X
X   XXXOO,U
X   XXXO ,U
X   XXX X,X
X   XXX O,U
X   XXX  ,U
X   XXOXX,X
X   XXOXO,U
X   XXOX ,U
X   XXOOX,X
X   XXOOO,O
X   XXOO ,U
X   XXO X,X
X   XXO O,U
X   XXO  ,U
X   XX XX,X
X   XX XO,U
X   XX X ,U
X   XX OX,X
X   XX OO,U
X   XX O ,U
X   XX  X,X
X   XX  O,U
X   XX   ,U
X   XOXXX,X
X   XOXXO,U
X   XOXX ,U
X   XOXOX,X
X   XOXOO,U
X   XOXO ,U
X   XOX X,X
X   XOX O,U
X   XOX  ,U
X   XOOXX,X
X   XOOXO,U
X   XOOX ,U
X   XOOOX,X
X   XOOOO,O
X   XOOO ,U
X   XOO X,X
X   XOO O,U
X   XOO  ,U
X   XO XX,X
X   XO XO,U
X   XO X ,U
X   XO OX,X
X   XO OO,U
X   XO O ,U
X   XO  X,X
X   XO  O,U
X   XO   ,U
X   X XXX,X
X   X XXO,U
X   X XX ,U
X   X XOX,X
X   X XOO,U
X   X XO ,U
X   X X X,X
X   X X O,U
X   X X  ,U
X   X OXX,X
X   X OXO,U
X   X OX ,U
X   X OOX,X
X   X OOO,O
X   X OO ,U
X   X O X,X
X   X O O,U
X   X O  ,U
X   X  XX,X
X   X  XO,U
X   X  X ,U
X   X  OX,X
X   X  OO,U
X   X  O ,U
X   X   X,X
X   X   O,U
X   X    ,U
X   OXXXX,X
X   OXXXO,U
X   OXXX ,U
X   OXXOX,U
X   OXXOO,U
X   OXXO ,U
X   OXX X,U
X   OXX O,U
X   OXX  ,U
X   OXOXX,U
X   OXOXO,U
X   OXOX ,U
X   OXOOX,U
X   OXOOO,O
X   OXOO ,U
X   OXO X,U
X   OXO O,U
X   OXO  ,U
X   OX XX,U
X   OX XO,U
X   OX X ,U
X   OX OX,U
X   OX OO,U
X   OX O ,U
X   OX  X,U
X   OX  O,U
X   OX   ,U
X   OOXXX,X
X   OOXXO,U
X   OOXX ,U
X   OOXOX,U
X   OOXOO,U
X   OOXO ,U
X   OOX X,U
X   OOX O,U
X   OOX  ,U
X   OOOXX,U
X   OOOXO,U
X   OOOX ,U
X   OOOOX,U
X   OOOOO,O
X   OOOO ,U
X   OOO X,U
X   OOO O,U
X   OOO  ,U
X   OO XX,U
X   OO XO,U
X   OO X ,U
X   OO OX,U
X   OO OO,U
X   OO O ,U
X   OO  X,U
X   OO  O,U
X   OO   ,U
X   O XXX,X
X   O XXO,U
X   O XX ,U
X   O XOX,U
X   O XOO,U
X   O XO ,U
X   O X X,U
X   O X O,U
X   O X  ,U
X   O OXX,U
X   O OXO,U
X   O OX ,U
X   O OOX,U
X   O OOO,O
X   O OO ,U
X   O O X,U
X   O O O,U
X   O O  ,U
X   O  XX,U
X   O  XO,U
X   O  X ,U
X   O  OX,U
X   O  OO,U
X   O  O ,U
X   O   X,U
X   O   O,U
X   O    ,U
X    XXXX,X
X    XXXO,U
X    XXX ,U
X    XXOX,U
X    XXOO,U
X    XXO ,U
X    XX X,U
X    XX O,U
X    XX  ,U
X    XOXX,U
X    XOXO,U
X    XOX ,U
X    XOOX,U
X    XOOO,O
X    XOO ,U
X    XO X,U
X    XO O,U
X    XO  ,U
X    X XX,U
X    X XO,U
X    X X ,U
X    X OX,U
X    X OO,U
X    X O ,U
X    X  X,U
X    X  O,U
X    X   ,U
X    OXXX,X
X    OXXO,U
X    OXX ,U
X    OXOX,U
X    OXOO,U
X    OXO ,U
X    OX X,U
X    OX O,U
X    OX  ,U
X    OOXX,U
X    OOXO,U
X    OOX ,U
X    OOOX,U
X    OOOO,O
X    OOO ,U
X    OO X,U
X    OO O,U
X    OO  ,U
X    O XX,U
X    O XO,U
X    O X ,U
X    O OX,U
X    O OO,U
X    O O ,U
X    O  X,U
X    O  O,U
X    O   ,U
X     XXX,X
X     XXO,U
X     XX ,U
X     XOX,U
X     XOO,U
X     XO ,U
X     X X,U
X     X O,U
X     X  ,U
X     OXX,U
X     OXO,U
X     OX ,U
X     OOX,U
X     OOO,O
X     OO ,U
X     O X,U
X     O O,U
X     O  ,U
X      XX,U
X      XO,U
X      X ,U
X      OX,U
X      OO,U
X      O ,U
X       X,U
X       O,U
X        ,U
OXXXXXXXX,X
OXXXXXXXO,X
OXXXXXXX ,X
OXXXXXXOX,X
OXXXXXXOO,X
OXXXXXXO ,X
OXXXXXX X,X
OXXXXXX O,X
OXXXXXX  ,X
OXXXXXOXX,X
OXXXXXOXO,X
OXXXXXOX ,X
OXXXXXOOX,X
OXXXXXOOO,X
OXXXXXOO ,X
OXXXXXO X,X
OXXXXXO O,X
OXXXXXO  ,X
OXXXXX XX,X
